seq_no=197,	ch0= 237, ch1=  94, ch2= 860, ch3= 324, ch4=   0, ch5= 201, ts=1714036173334714,	delta=852,
seq_no=198,	ch0= 353, ch1=  17, ch2= 799, ch3= 351, ch4=   1, ch5= 139, ts=1714036173335588,	delta=874,
seq_no=199,	ch0= 466, ch1=   0, ch2= 727, ch3= 381, ch4=  43, ch5=  97, ts=1714036173336400,	delta=812,
seq_no=200,	ch0= 616, ch1=   0, ch2= 640, ch3= 373, ch4=  64, ch5=  57, ts=1714036173337710,	delta=1310,
seq_no=201,	ch0= 604, ch1=   0, ch2= 520, ch3= 315, ch4= 131, ch5=  47, ts=1714036173338124,	delta=414,
seq_no=202,	ch0= 696, ch1=  53, ch2= 469, ch3= 338, ch4= 215, ch5=   0, ts=1714036173338950,	delta=826,
seq_no=203,	ch0= 756, ch1=  90, ch2= 280, ch3= 313, ch4= 227, ch5=   0, ts=1714036173339766,	delta=816,
seq_no=204,	ch0= 759, ch1= 176, ch2= 192, ch3= 260, ch4= 258, ch5=   0, ts=1714036173340600,	delta=834,
seq_no=205,	ch0= 746, ch1= 276, ch2= 100, ch3= 205, ch4= 281, ch5=   0, ts=1714036173341445,	delta=845,
seq_no=206,	ch0= 711, ch1= 381, ch2=  18, ch3= 160, ch4= 308, ch5=   2, ts=1714036173342283,	delta=838,
seq_no=207,	ch0= 650, ch1= 500, ch2=   0, ch3= 114, ch4= 321, ch5=  43, ts=1714036173343133,	delta=850,
